IID,comb_mass,day,rna_sampled
453,31.35,4,yes
454,21.88,4,no
455,22.18,4,no
456,31.46,4,yes
457,23.23,4,no
458,19.63,4,yes
460,27.67,4,no
461,18.92,4,yes
462,18,4,yes
463,25.22,4,no
465,18.25,4,yes
466,24.05,4,no
467,27.92,4,no
468,24.12,4,no
471,16.22,4,yes
472,23.32,4,no
473,32,4,yes
474,20.9,4,no
475,25.43,4,no
476,21.23,4,no
477,24.45,4,no
478,27.26,4,no
479,23.8,4,no
480,29.12,4,no
481,27.19,4,no
482,23.42,4,no
483,29.33,4,no
484,35.5,4,no
485,21.72,4,no
486,25.58,4,no
487,22.09,4,no
489,28.17,4,no
490,23.66,4,no
491,32.71,4,yes
492,28.59,4,no
493,38.69,4,yes
494,18.84,4,yes
497,31.69,4,yes
498,19.33,4,yes
499,25.97,4,no
500,15.98,4,yes
501,26.54,4,no
502,22.61,4,no
503,21.4,4,no
504,22.1,4,no
505,23.77,4,no
506,35.94,4,yes
509,36.96,4,yes
510,14.26,4,yes
511,24.12,4,no
513,19.09,4,no
514,29.92,4,no
517,29.14,4,no
518,23.74,4,no
521,28.84,4,no
522,27.59,4,no
523,19.16,4,no
524,19.86,4,no
525,13.93,4,yes
526,16.05,4,yes
527,23.4,4,no
531,28.33,4,no
532,29.6,4,no
533,29.49,4,no
534,17.96,4,yes
535,25.1,4,no
536,21.03,4,no
537,32.35,4,yes
539,30.41,4,yes
540,32.09,4,yes
541,22.77,4,no
542,28.91,4,no
544,32.48,4,yes
545,17,4,yes
546,28.52,4,no
547,17.53,4,yes
548,16.48,4,yes
549,24.03,4,no
551,25.52,4,no
554,24.68,4,no
555,27.8,4,no
557,26.43,4,no
558,16.29,4,yes
560,33.91,4,yes
562,32.8,4,yes
563,24.6,4,no
567,24.84,4,no
568,24.52,4,no
569,25.32,4,no
570,18.96,4,yes
572,21.35,4,no
573,22.14,4,no
574,28.72,4,no
575,23,4,no
576,22.5,4,no
577,24.97,4,no
578,31.47,4,yes
579,19.66,4,no
580,21.41,4,no
581,18.07,4,yes
582,19.01,4,no
584,20.4,4,no
585,16.43,4,yes
586,24.9,4,no
587,21.76,4,no
588,30.52,4,yes
590,31.44,4,yes
592,18.39,4,no
593,32.66,4,yes
596,14.44,4,yes
598,31.23,4,yes
599,28.68,4,no
600,21.2,4,no
601,23.91,4,no
603,29.8,4,no
605,31.37,4,yes
608,26.86,4,no
609,34.69,4,yes
610,21.99,4,no
611,23.88,4,no
612,31.2,4,yes
613,22.5,4,no
614,28.45,4,no
615,29.45,4,no
616,20.14,4,no
617,21.38,4,no
618,25.38,4,no
621,22.1,4,no
622,22.84,4,no
623,24.33,4,no
624,14.32,4,yes
625,27.37,4,no
626,33.06,4,yes
627,15.83,4,yes
628,24.36,4,no
629,24.16,4,no
630,13.61,4,yes
631,27.03,4,no
632,24.8,4,no
633,18.81,4,yes
634,20.6,4,no
636,27.71,4,no
637,19.29,4,yes
639,17.15,4,yes
643,22.26,4,no
644,36.7,4,yes
645,23.52,4,no
646,18.89,4,yes
647,23.31,4,no
649,28.94,4,no
650,12.3,4,yes
652,30.7,4,yes
653,21.85,4,no
654,24.75,4,no
655,35.4,4,yes
656,27.9,4,no
658,37.95,4,yes
660,14.21,4,yes
661,23.99,4,no
1003,12.75,2,yes
1004,18.76,2,yes
1006,33.51,2,yes
1007,11.88,2,yes
1008,24.81,2,yes
1009,23.46,2,yes
1010,18.14,2,yes
1011,28.18,2,yes
1012,13.81,2,yes
1013,25.54,2,yes
1014,10.21,2,yes
1015,30.28,2,yes
1016,20.52,2,yes
1017,18.65,2,yes
1019,18.96,2,yes
1020,13.35,2,yes
1022,16.75,2,yes
1023,10.25,2,yes
1026,30.96,2,yes
1027,24.92,2,yes
1030,24.33,2,yes
1031,16.73,2,yes
1032,19.42,2,yes
1033,19.16,2,yes
1035,26.88,2,yes
1037,14.42,2,yes
1038,11.61,2,yes
1039,13.56,2,yes
1042,19.9,2,yes
1043,17.09,2,yes
1044,13.42,2,yes
1045,21.84,2,yes
1046,21.6,2,yes
1047,23.35,2,yes
1048,22.83,2,yes
1049,21.6,2,yes
1050,16.37,2,yes
1052,19.16,2,no
1054,19.98,2,no
1055,16.92,2,yes
1056,25.96,2,no
1059,20.7,2,no
1061,26.8,2,no
1062,16.66,2,no
1063,20.64,2,no
1065,19.35,2,no
1066,15.76,2,no
1067,19.37,2,no
1069,17.46,2,no
1070,13.53,2,no
1071,17.06,2,yes
1072,19.47,2,no
1073,14.33,2,no
1074,17.81,2,no
1076,17.54,2,no
1079,17.5,2,no
1080,12.56,2,no
1082,17.77,3,no
1083,12.65,3,yes
1084,17.1,3,no
1085,15.28,3,yes
1086,23.66,3,yes
1087,14.43,3,yes
