"IID","breed","comb_mass"
414,"LSL",25.06
416,"Bovans",35.16
417,"LSL",23.68
418,"LSL",21.34
421,"LSL",17.96
422,"LSL",17.93
423,"LSL",19.57
424,"Bovans",35.84
425,"LSL",21.99
426,"LSL",23.95
438,"LSL",18.68
439,"Bovans",28.99
440,"Bovans",22.91
445,"LSL",31.19
506,"Bovans",35.94
509,"LSL",36.96
510,"LSL",14.26
511,"LSL",24.12
514,"Bovans",29.92
517,"Bovans",29.14
518,"Bovans",23.74
521,"LSL",28.84
522,"Bovans",27.59
523,"LSL",19.16
524,"LSL",19.86
525,"LSL",13.93
526,"LSL",16.05
531,"Bovans",28.33
533,"Bovans",29.49
534,"Bovans",17.96
536,"Bovans",21.03
537,"Bovans",32.35
539,"Bovans",30.41
540,"Bovans",32.09
542,"LSL",28.91
544,"LSL",32.48
545,"Bovans",17
546,"Bovans",28.52
547,"Bovans",17.53
548,"Bovans",16.48
549,"LSL",24.03
554,"LSL",24.68
555,"Bovans",27.8
557,"Bovans",26.43
558,"LSL",16.29
560,"Bovans",33.91
562,"Bovans",32.8
563,"Bovans",24.6
567,"Bovans",24.84
568,"Bovans",24.52
569,"Bovans",25.32
570,"LSL",18.96
572,"Bovans",21.35
573,"LSL",22.14
574,"LSL",28.72
575,"Bovans",23
576,"LSL",22.5
577,"Bovans",24.97
578,"Bovans",31.47
579,"LSL",19.66
580,"LSL",21.41
581,"LSL",18.07
582,"LSL",19.01
585,"LSL",16.43
586,"Bovans",24.9
587,"Bovans",21.76
588,"LSL",30.52
590,"Bovans",31.44
592,"LSL",18.39
593,"LSL",32.66
596,"LSL",14.44
598,"Bovans",31.23
599,"Bovans",28.68
600,"Bovans",21.2
601,"Bovans",23.91
603,"Bovans",29.8
605,"LSL",31.37
608,"Bovans",26.86
609,"Bovans",34.69
610,"LSL",21.99
611,"LSL",23.88
612,"LSL",31.2
613,"LSL",22.5
614,"Bovans",28.45
615,"Bovans",29.45
616,"LSL",20.14
617,"LSL",21.38
618,"Bovans",25.38
621,"Bovans",22.1
622,"Bovans",22.84
623,"LSL",24.33
624,"LSL",14.32
625,"LSL",27.37
626,"LSL",33.06
628,"Bovans",24.36
629,"Bovans",24.16
630,"LSL",13.61
631,"LSL",27.03
632,"Bovans",24.8
633,"Bovans",18.81
634,"Bovans",20.6
636,"LSL",27.71
637,"LSL",19.29
639,"Bovans",17.15
643,"LSL",22.26
644,"Bovans",36.7
645,"Bovans",23.52
646,"Bovans",18.89
647,"LSL",23.31
649,"LSL",28.94
