IID,load_N,cage.pen,feed,breed,group,weight,comb_mass
1050,227,PEN,SLU-kontroll,Bovans,1003,1.858,16.37
1052,268,PEN,SLU-kontroll,Bovans,1003,2.025,19.16
1054,168,PEN,SLU-kontroll,Bovans,1003,1.781,19.98
1055,220,PEN,SLU-kontroll,Bovans,1003,2.166,16.92
1056,178,PEN,SLU-kontroll,Bovans,1003,1.556,25.96
1059,206,PEN,SLU-kontroll,Bovans,1003,1.889,20.7
1061,178,PEN,SLU-kontroll,LSL,1004,2.093,26.8
1062,239,PEN,SLU-kontroll,LSL,1004,2.067,16.66
1063,197,PEN,SLU-kontroll,LSL,1004,1.992,20.64
1065,201,PEN,SLU-kontroll,LSL,1004,1.719,19.35
1066,190,PEN,SLU-kontroll,LSL,1004,1.757,15.76
1067,170,PEN,SLU-kontroll,LSL,1004,1.762,19.37
1069,148,PEN,SLU-kontroll,LSL,1004,1.941,17.46
1070,292,PEN,SLU-kontroll,LSL,1004,1.921,13.53
1071,172,PEN,SLU-kontroll,LSL,1004,1.824,17.06
1072,241,PEN,SLU-kontroll,LSL,1004,1.92,19.47
1073,200,PEN,SLU-kontroll,LSL,1004,1.843,14.33
1074,234,PEN,SLU-kontroll,LSL,1004,1.9,17.81
1076,260,PEN,SLU-kontroll,LSL,1004,1.996,17.54
1079,212,PEN,SLU-kontroll,LSL,1004,1.819,17.5
1080,148,PEN,SLU-kontroll,LSL,1004,1.578,12.56
1082,242,PEN,SLU-försök,LSL,1005,1.955,17.77
1083,187,PEN,SLU-försök,LSL,1005,1.845,12.65
1084,304,PEN,SLU-försök,LSL,1005,2.286,17.1
1085,149,PEN,SLU-försök,LSL,1005,1.73,15.28
1086,160,PEN,SLU-försök,LSL,1005,1.649,23.66
1087,230,PEN,SLU-försök,LSL,1005,1.998,14.43
1088,270,PEN,SLU-försök,LSL,1005,2.346,29.53
1089,282,PEN,SLU-försök,LSL,1005,1.735,24.27
1090,229,PEN,SLU-försök,LSL,1005,1.71,15.32
1091,163,PEN,SLU-försök,LSL,1005,1.611,15.03
1093,216,PEN,SLU-försök,LSL,1005,1.917,22.45
1095,259,PEN,SLU-försök,LSL,1005,2.326,22
1101,181,PEN,SLU-försök,Bovans,1006,2.157,19.64
1102,144,PEN,SLU-försök,Bovans,1006,1.95,19.17
1104,NA,PEN,SLU-försök,Bovans,1006,1.982,14.84
1105,172,PEN,SLU-försök,Bovans,1006,1.827,21.48
1109,NA,PEN,SLU-försök,Bovans,1006,1.84,20.78
1110,262,PEN,SLU-försök,Bovans,1006,2.209,20.16
1115,421,PEN,SLU-försök,Bovans,1006,2.057,16.55
1116,203,PEN,SLU-försök,Bovans,1006,2.004,15.49
1117,190,PEN,SLU-försök,Bovans,1006,1.847,11.73
1118,117,PEN,SLU-försök,Bovans,1006,1.933,17.39
1120,205,PEN,SLU-försök,Bovans,1006,1.832,12.23
1122,186,PEN,SLU-försök,LSL,1007,1.683,24.1
1123,152,PEN,SLU-försök,LSL,1007,1.918,24.12
1124,136,PEN,SLU-försök,LSL,1007,1.577,22.17
1125,251,PEN,SLU-försök,LSL,1007,2.231,14.19
1126,201,PEN,SLU-försök,LSL,1007,1.809,23.87
1129,183,PEN,SLU-försök,LSL,1007,1.887,13.73
1132,191,PEN,SLU-försök,LSL,1007,1.955,17.76
1135,185,PEN,SLU-försök,LSL,1007,1.88,17.69
1138,173,PEN,SLU-försök,LSL,1007,1.848,23.89
1139,216,PEN,SLU-försök,LSL,1007,1.969,19.33
1141,205,PEN,SLU-kontroll,LSL,1008,1.639,19.17
1142,151,PEN,SLU-kontroll,LSL,1008,1.706,16.04
1143,198,PEN,SLU-kontroll,LSL,1008,1.839,16.7
1146,268,PEN,SLU-kontroll,LSL,1008,1.881,11.5
1147,252,PEN,SLU-kontroll,LSL,1008,1.73,21.39
1148,218,PEN,SLU-kontroll,LSL,1008,1.869,20.65
1150,179,PEN,SLU-kontroll,LSL,1008,1.699,14.31
1151,256,PEN,SLU-kontroll,LSL,1008,1.7,29.02
1152,252,PEN,SLU-kontroll,LSL,1008,2.143,28.39
1153,161,PEN,SLU-kontroll,LSL,1008,1.749,19.13
1156,239,PEN,SLU-kontroll,LSL,1008,2.098,16.34
1159,200,PEN,SLU-kontroll,LSL,1008,2.037,32.68
1160,282,PEN,SLU-kontroll,LSL,1008,1.854,31.86
1162,186,PEN,SLU-kontroll,Bovans,1009,1.858,22.86
1163,206,PEN,SLU-kontroll,Bovans,1009,1.649,16.98
1164,171,PEN,SLU-kontroll,Bovans,1009,1.843,20.77
1165,207,PEN,SLU-kontroll,Bovans,1009,2.181,18.62
1167,220,PEN,SLU-kontroll,Bovans,1009,2.197,23.13
1168,226,PEN,SLU-kontroll,Bovans,1009,1.896,14.9
1169,252,PEN,SLU-kontroll,Bovans,1009,2.009,26.72
1170,174,PEN,SLU-kontroll,Bovans,1009,1.754,29.53
1171,166,PEN,SLU-kontroll,Bovans,1009,2.053,16.5
1172,195,PEN,SLU-kontroll,Bovans,1009,1.79,17.43
1174,240,PEN,SLU-kontroll,Bovans,1009,1.74,30.96
1175,185,PEN,SLU-kontroll,Bovans,1009,1.807,28.16
1178,133,PEN,SLU-kontroll,Bovans,1009,1.773,13.46
1179,208,PEN,SLU-kontroll,Bovans,1009,1.912,19.29
1180,171,PEN,SLU-kontroll,Bovans,1009,2.05,29.64
1181,195,PEN,SLU-kontroll,LSL,1010,1.855,15.17
1183,323,PEN,SLU-kontroll,LSL,1010,2.056,15.02
1185,225,PEN,SLU-kontroll,LSL,1010,2.493,10.4
1188,236,PEN,SLU-kontroll,LSL,1010,1.835,11.08
1189,140,PEN,SLU-kontroll,LSL,1010,1.869,12.8
1191,281,PEN,SLU-kontroll,LSL,1010,2.163,15.43
1192,174,PEN,SLU-kontroll,LSL,1010,1.789,16.12
1193,193,PEN,SLU-kontroll,LSL,1010,1.933,17.17
1194,182,PEN,SLU-kontroll,LSL,1010,1.948,9.58
1195,349,PEN,SLU-kontroll,LSL,1010,2.029,19.48
1196,179,PEN,SLU-kontroll,LSL,1010,1.788,26.7
1197,201,PEN,SLU-kontroll,LSL,1010,1.785,13.84
1200,208,PEN,SLU-kontroll,LSL,1010,1.813,17.88
1201,317,PEN,SLU-försök,LSL,1011,1.598,23.71
1202,220,PEN,SLU-försök,LSL,1011,1.616,14.35
1203,203,PEN,SLU-försök,LSL,1011,1.692,19.3
1204,273,PEN,SLU-försök,LSL,1011,1.786,26.57
1206,198,PEN,SLU-försök,LSL,1011,1.825,16.76
1208,193,PEN,SLU-försök,LSL,1011,1.536,15.99
1209,277,PEN,SLU-försök,LSL,1011,1.951,30.32
1211,317,PEN,SLU-försök,LSL,1011,2.071,9.55
1213,206,PEN,SLU-försök,LSL,1011,1.738,27.7
1214,213,PEN,SLU-försök,LSL,1011,1.682,21.07
1216,344,PEN,SLU-försök,LSL,1011,1.758,19.67
1217,306,PEN,SLU-försök,LSL,1011,2.03,13.72
1220,217,PEN,SLU-försök,LSL,1011,2.094,19.38
1222,202,PEN,SLU-kontroll,Bovans,1012,1.691,17
1223,192,PEN,SLU-kontroll,Bovans,1012,1.92,21.32
1224,151,PEN,SLU-kontroll,Bovans,1012,1.738,20.38
1225,227,PEN,SLU-kontroll,Bovans,1012,2.175,33.39
1226,142,PEN,SLU-kontroll,Bovans,1012,1.764,17.16
1230,163,PEN,SLU-kontroll,Bovans,1012,1.794,18.91
1231,245,PEN,SLU-kontroll,Bovans,1012,1.821,14.42
1232,315,PEN,SLU-kontroll,Bovans,1012,2.108,29.12
1234,271,PEN,SLU-kontroll,Bovans,1012,2.019,25.05
1235,320,PEN,SLU-kontroll,Bovans,1012,1.798,13.79
1236,197,PEN,SLU-kontroll,Bovans,1012,1.9,21.22
1237,136,PEN,SLU-kontroll,Bovans,1012,1.658,18.41
1238,NA,PEN,SLU-kontroll,Bovans,1012,1.788,20.61
1242,140,PEN,SLU-försök,Bovans,1013,1.9,26.79
1244,137,PEN,SLU-försök,Bovans,1013,1.769,23.03
1245,251,PEN,SLU-försök,Bovans,1013,1.927,24.45
1246,255,PEN,SLU-försök,Bovans,1013,1.867,26.37
1247,185,PEN,SLU-försök,Bovans,1013,2.169,20.01
1248,202,PEN,SLU-försök,Bovans,1013,1.95,10.54
1249,195,PEN,SLU-försök,Bovans,1013,2.01,21.68
1250,198,PEN,SLU-försök,Bovans,1013,1.655,14.08
1251,288,PEN,SLU-försök,Bovans,1013,2.065,16.77
1252,157,PEN,SLU-försök,Bovans,1013,1.792,18.08
1254,206,PEN,SLU-försök,Bovans,1013,1.858,15.36
1256,293,PEN,SLU-försök,Bovans,1013,1.772,20.88
1257,242,PEN,SLU-försök,Bovans,1013,2.089,18.07
1258,181,PEN,SLU-försök,Bovans,1013,1.949,22
1260,226,PEN,SLU-försök,Bovans,1013,1.887,22.12
1261,215,PEN,SLU-kontroll,Bovans,1014,1.906,20.04
1263,140,PEN,SLU-kontroll,Bovans,1014,1.982,21.06
1264,193,PEN,SLU-kontroll,Bovans,1014,1.919,21.31
1265,201,PEN,SLU-kontroll,Bovans,1014,1.977,22.74
1267,184,PEN,SLU-kontroll,Bovans,1014,1.741,24.89
1270,134,PEN,SLU-kontroll,Bovans,1014,1.703,20.31
1271,269,PEN,SLU-kontroll,Bovans,1014,2.073,15.8
1273,143,PEN,SLU-kontroll,Bovans,1014,1.498,15.49
1274,187,PEN,SLU-kontroll,Bovans,1014,1.807,18.47
1275,165,PEN,SLU-kontroll,Bovans,1014,1.709,17.66
1278,253,PEN,SLU-kontroll,Bovans,1014,1.87,15.49
1281,173,PEN,SLU-försök,LSL,1015,1.724,17.35
1282,175,PEN,SLU-försök,LSL,1015,1.785,25.9
1283,156,PEN,SLU-försök,LSL,1015,1.873,12.02
1286,172,PEN,SLU-försök,LSL,1015,1.841,17.49
1287,177,PEN,SLU-försök,LSL,1015,1.636,30.87
1290,205,PEN,SLU-försök,LSL,1015,1.874,23.52
1291,141,PEN,SLU-försök,LSL,1015,1.73,10.47
1293,245,PEN,SLU-försök,LSL,1015,1.731,10.65
1294,218,PEN,SLU-försök,LSL,1015,1.878,20.02
1296,153,PEN,SLU-försök,LSL,1015,1.778,16.6
1299,160,PEN,SLU-försök,LSL,1015,1.642,16.45
1300,210,PEN,SLU-försök,LSL,1015,1.698,17.55
1301,182,PEN,SLU-försök,Bovans,1016,2.18,31.86
1303,176,PEN,SLU-försök,Bovans,1016,2.184,22.71
1305,138,PEN,SLU-försök,Bovans,1016,1.712,8.98
1306,214,PEN,SLU-försök,Bovans,1016,1.884,15.22
1307,179,PEN,SLU-försök,Bovans,1016,2.235,24.41
1310,255,PEN,SLU-försök,Bovans,1016,1.754,18.03
1311,168,PEN,SLU-försök,Bovans,1016,1.702,10.95
1314,256,PEN,SLU-försök,Bovans,1016,2.51,28.13
1315,214,PEN,SLU-försök,Bovans,1016,1.723,17.45
1316,262,PEN,SLU-försök,Bovans,1016,1.642,27.89
1317,177,PEN,SLU-försök,Bovans,1016,1.714,17.85
1318,243,PEN,SLU-försök,Bovans,1016,1.979,7.59
1319,251,PEN,SLU-försök,Bovans,1016,1.961,17.22
1321,137,PEN,SLU-kontroll,LSL,1017,1.646,11.72
1324,195,PEN,SLU-kontroll,LSL,1017,1.753,17.81
1325,185,PEN,SLU-kontroll,LSL,1017,1.736,12.58
1326,238,PEN,SLU-kontroll,LSL,1017,2.413,21.58
1327,171,PEN,SLU-kontroll,LSL,1017,1.827,11.79
1330,230,PEN,SLU-kontroll,LSL,1017,2.393,55.33
1332,179,PEN,SLU-kontroll,LSL,1017,1.71,16.82
1334,133,PEN,SLU-kontroll,LSL,1017,1.871,13.41
1336,203,PEN,SLU-kontroll,LSL,1017,2.096,15.76
1337,190,PEN,SLU-kontroll,LSL,1017,2.082,33.76
1341,211,PEN,SLU-kontroll,Bovans,1018,2.596,15.45
1342,182,PEN,SLU-kontroll,Bovans,1018,1.881,35.46
1344,156,PEN,SLU-kontroll,Bovans,1018,1.977,19.61
1345,179,PEN,SLU-kontroll,Bovans,1018,1.908,22.22
1346,162,PEN,SLU-kontroll,Bovans,1018,1.767,17.67
1347,234,PEN,SLU-kontroll,Bovans,1018,2.266,17.03
1348,210,PEN,SLU-kontroll,Bovans,1018,1.741,14.97
1349,256,PEN,SLU-kontroll,Bovans,1018,1.8,21.41
1354,208,PEN,SLU-kontroll,Bovans,1018,1.937,23.74
1355,211,PEN,SLU-kontroll,Bovans,1018,2.013,22.32
1356,337,PEN,SLU-kontroll,Bovans,1018,1.916,15.69
1360,369,PEN,SLU-kontroll,Bovans,1018,1.921,21.19
1366,217,PEN,SLU-försök,LSL,1001,1.872,21.57
1370,219,PEN,SLU-försök,LSL,1001,1.882,26.32
1371,188,PEN,SLU-försök,LSL,1001,1.876,22.52
1372,202,PEN,SLU-försök,LSL,1001,1.59,22.23
1373,214,PEN,SLU-försök,Bovans,1002,1.794,22.36
1374,204,PEN,SLU-försök,Bovans,1002,1.547,18.69
1375,315,PEN,SLU-försök,Bovans,1002,1.918,9.44
1379,NA,PEN,SLU-försök,Bovans,1002,2.189,20.29
1381,200,PEN,SLU-försök,Bovans,1002,2.27,25.16
1382,154,PEN,SLU-försök,Bovans,1002,1.751,21.44
1386,183,PEN,SLU-försök,Bovans,1002,1.557,14.88
1387,NA,PEN,SLU-försök,Bovans,1002,2.199,25.97
1389,149,PEN,SLU-kontroll,Bovans,1003,1.746,19.62
1390,225,PEN,SLU-kontroll,Bovans,1003,1.58,11.34
1391,372,PEN,SLU-kontroll,Bovans,1003,2.08,16.15
1393,159,PEN,SLU-kontroll,Bovans,1003,1.848,19.54
1394,192,PEN,SLU-kontroll,Bovans,1003,1.933,28.65
1397,183,PEN,SLU-kontroll,Bovans,1003,1.973,20.37
1398,234,PEN,SLU-kontroll,Bovans,1003,1.955,36.3
1399,188,PEN,SLU-kontroll,Bovans,1003,1.93,28.8
1400,181,PEN,SLU-kontroll,Bovans,1003,1.728,19.65
1401,172,PEN,SLU-kontroll,Bovans,1003,2.071,25.7
1402,221,PEN,SLU-kontroll,Bovans,1003,1.937,20.85
1403,128,PEN,SLU-kontroll,LSL,1004,1.521,10.74
1405,179,PEN,SLU-kontroll,LSL,1004,1.987,20.19
1406,163,PEN,SLU-kontroll,LSL,1004,2.115,17.97
1407,220,PEN,SLU-kontroll,LSL,1004,1.844,15.86
1410,196,PEN,SLU-kontroll,LSL,1004,1.95,29.39
1411,222,PEN,SLU-kontroll,LSL,1004,1.872,18.12
1415,203,PEN,SLU-försök,LSL,1005,1.952,18.35
1416,185,PEN,SLU-försök,LSL,1005,1.969,18.65
1418,176,PEN,SLU-försök,LSL,1005,1.981,16.08
1419,195,PEN,SLU-försök,LSL,1005,1.526,16.58
1420,167,PEN,SLU-försök,LSL,1005,2.079,24.81
1421,183,PEN,SLU-försök,LSL,1005,1.941,20.08
1422,160,PEN,SLU-försök,LSL,1005,1.729,17.1
1423,239,PEN,SLU-försök,LSL,1005,1.886,24.34
1424,204,PEN,SLU-försök,LSL,1005,2.001,25.26
1425,201,PEN,SLU-försök,LSL,1005,1.677,21.95
1427,186,PEN,SLU-försök,Bovans,1006,1.716,21.88
1428,203,PEN,SLU-försök,Bovans,1006,1.708,18.74
1431,190,PEN,SLU-försök,Bovans,1006,1.7,14.89
1433,169,PEN,SLU-försök,Bovans,1006,1.564,17.48
1434,357,PEN,SLU-försök,Bovans,1006,2.078,12.2
1435,349,PEN,SLU-försök,Bovans,1006,1.901,28.19
1438,196,PEN,SLU-försök,Bovans,1006,1.909,30.43
1439,187,PEN,SLU-försök,Bovans,1006,1.728,24.31
1440,181,PEN,SLU-försök,Bovans,1006,1.622,19.22
1443,225,PEN,SLU-försök,LSL,1007,1.877,28.21
1444,192,PEN,SLU-försök,LSL,1007,1.874,28.51
1445,181,PEN,SLU-försök,LSL,1007,1.729,21.29
1446,199,PEN,SLU-försök,LSL,1007,1.814,24.46
1447,221,PEN,SLU-försök,LSL,1007,1.675,19.02
1448,179,PEN,SLU-försök,LSL,1007,1.799,22.29
1451,203,PEN,SLU-försök,LSL,1007,1.802,29.07
1452,227,PEN,SLU-försök,LSL,1007,1.898,16.71
1453,194,PEN,SLU-försök,LSL,1007,1.967,23.56
1454,197,PEN,SLU-försök,LSL,1007,1.749,17.12
1456,202,PEN,SLU-försök,LSL,1007,1.702,29.14
1459,324,PEN,SLU-kontroll,LSL,1008,1.72,16.99
1460,260,PEN,SLU-kontroll,LSL,1008,1.857,20.8
1461,270,PEN,SLU-kontroll,LSL,1008,2.155,15.38
1462,222,PEN,SLU-kontroll,LSL,1008,1.65,22.81
1463,197,PEN,SLU-kontroll,LSL,1008,1.997,23.8
1466,182,PEN,SLU-kontroll,LSL,1008,1.866,20
1467,218,PEN,SLU-kontroll,LSL,1008,1.955,15.74
1468,176,PEN,SLU-kontroll,LSL,1008,1.862,19.36
1469,134,PEN,SLU-kontroll,LSL,1008,1.74,14.43
1471,152,PEN,SLU-kontroll,LSL,1008,1.633,24.04
1473,142,PEN,SLU-kontroll,LSL,1008,1.589,11.81
1474,257,PEN,SLU-kontroll,Bovans,1009,2.023,23.76
1476,213,PEN,SLU-kontroll,Bovans,1009,1.913,19.82
1477,188,PEN,SLU-kontroll,Bovans,1009,1.865,18.31
1483,185,PEN,SLU-kontroll,Bovans,1009,1.899,25.93
1484,173,PEN,SLU-kontroll,Bovans,1009,2.023,13.41
1485,170,PEN,SLU-kontroll,Bovans,1009,1.865,17.7
1486,173,PEN,SLU-kontroll,Bovans,1009,1.887,20.49
