IID,load_N,cage.pen,feed,breed,group,weight,comb_mass
158,168,CAGE,SLU-kontroll,LSL,2407,1.959,21.22
160,204,CAGE,SLU-kontroll,Bovans,2408,1.752,22.83
166,202,CAGE,SLU-kontroll,Bovans,2411,1.921,28.4
167,142,CAGE,SLU-försök,LSL,2412,1.777,20.48
168,157,CAGE,SLU-försök,LSL,2412,1.819,30.22
170,NA,CAGE,SLU-försök,LSL,2416,1.567,19
172,105,CAGE,SLU-försök,Bovans,2417,1.67,17.72
173,178,CAGE,SLU-kontroll,LSL,2418,2.202,15.18
174,148,CAGE,SLU-kontroll,LSL,2418,1.734,16.2
175,173,CAGE,SLU-försök,LSL,2419,1.526,18.36
176,228,CAGE,SLU-försök,LSL,2419,1.841,18.86
177,183,CAGE,SLU-försök,Bovans,2420,1.674,18.33
184,151,CAGE,SLU-försök,Bovans,2423,2.21,24.71
185,173,CAGE,SLU-kontroll,LSL,2424,1.712,27.23
186,164,CAGE,SLU-kontroll,LSL,2424,1.897,34.28
189,152,CAGE,SLU-försök,Bovans,2426,1.942,21.72
191,161,CAGE,SLU-kontroll,LSL,2427,1.784,21.21
192,149,CAGE,SLU-kontroll,LSL,2427,1.91,47.17
194,148,CAGE,SLU-kontroll,Bovans,2501,2.255,25.42
196,199,CAGE,SLU-kontroll,LSL,2502,2.142,25.38
198,135,CAGE,SLU-kontroll,Bovans,2503,2.088,29.62
199,107,CAGE,SLU-kontroll,Bovans,2504,1.739,21.4
200,168,CAGE,SLU-kontroll,Bovans,2504,1.732,23.1
201,144,CAGE,SLU-kontroll,LSL,2505,1.913,20.44
202,105,CAGE,SLU-kontroll,LSL,2505,1.97,21.13
203,73,CAGE,SLU-kontroll,Bovans,2506,1.508,20.65
204,137,CAGE,SLU-kontroll,Bovans,2506,2.021,33.8
205,156,CAGE,SLU-kontroll,Bovans,2507,1.704,26.17
207,159,CAGE,SLU-kontroll,LSL,2508,2.114,22.83
208,171,CAGE,SLU-kontroll,LSL,2508,1.812,29.13
209,155,CAGE,SLU-kontroll,Bovans,2509,1.995,25.38
211,107,CAGE,SLU-kontroll,Bovans,2510,1.786,22.88
215,157,CAGE,SLU-kontroll,Bovans,2512,1.916,32.61
216,181,CAGE,SLU-kontroll,Bovans,2512,1.869,24.41
219,109,CAGE,SLU-försök,LSL,2517,1.665,24.63
220,152,CAGE,SLU-försök,LSL,2517,1.59,19.45
223,120,CAGE,SLU-försök,Bovans,2519,1.806,27.6
225,140,CAGE,SLU-försök,LSL,2520,1.479,21.27
226,201,CAGE,SLU-försök,LSL,2520,1.671,23.95
227,122,CAGE,SLU-försök,Bovans,2521,1.901,27.99
228,132,CAGE,SLU-försök,Bovans,2521,1.874,23.9
229,148,CAGE,SLU-försök,Bovans,2522,2.111,21.2
231,109,CAGE,SLU-försök,LSL,2523,1.744,19.19
233,154,CAGE,SLU-försök,Bovans,2524,2.134,15.69
234,123,CAGE,SLU-försök,Bovans,2524,2.077,23.18
235,131,CAGE,SLU-försök,Bovans,2525,1.771,32.42
238,111,CAGE,SLU-försök,LSL,2526,1.663,24.78
239,189,CAGE,SLU-försök,Bovans,2527,1.742,26.22
240,131,CAGE,SLU-försök,Bovans,2527,2.011,20.7
242,153,CAGE,SLU-försök,LSL,2601,2.037,32.38
243,110,CAGE,SLU-försök,Bovans,2602,1.813,16.53
