"IID","feed","cage.pen","breed","weight","comb_mass","group"
167,"SLU-försök","CAGE","LSL",1.777,20.48,2412
168,"SLU-försök","CAGE","LSL",1.819,30.22,2412
170,"SLU-försök","CAGE","LSL",1.567,19,2416
172,"SLU-försök","CAGE","Bovans",1.67,17.72,2417
173,"SLU-kontroll","CAGE","LSL",2.202,15.18,2418
174,"SLU-kontroll","CAGE","LSL",1.734,16.2,2418
175,"SLU-försök","CAGE","LSL",1.526,18.36,2419
176,"SLU-försök","CAGE","LSL",1.841,18.86,2419
177,"SLU-försök","CAGE","Bovans",1.674,18.33,2420
184,"SLU-försök","CAGE","Bovans",2.21,24.71,2423
185,"SLU-kontroll","CAGE","LSL",1.712,27.23,2424
186,"SLU-kontroll","CAGE","LSL",1.897,34.28,2424
189,"SLU-försök","CAGE","Bovans",1.942,21.72,2426
191,"SLU-kontroll","CAGE","LSL",1.784,21.21,2427
192,"SLU-kontroll","CAGE","LSL",1.91,47.17,2427
194,"SLU-kontroll","CAGE","Bovans",2.255,25.42,2501
196,"SLU-kontroll","CAGE","LSL",2.142,25.38,2502
198,"SLU-kontroll","CAGE","Bovans",2.088,29.62,2503
199,"SLU-kontroll","CAGE","Bovans",1.739,21.4,2504
200,"SLU-kontroll","CAGE","Bovans",1.732,23.1,2504
201,"SLU-kontroll","CAGE","LSL",1.913,20.44,2505
202,"SLU-kontroll","CAGE","LSL",1.97,21.13,2505
203,"SLU-kontroll","CAGE","Bovans",1.508,20.65,2506
204,"SLU-kontroll","CAGE","Bovans",2.021,33.8,2506
205,"SLU-kontroll","CAGE","Bovans",1.704,26.17,2507
207,"SLU-kontroll","CAGE","LSL",2.114,22.83,2508
208,"SLU-kontroll","CAGE","LSL",1.812,29.13,2508
209,"SLU-kontroll","CAGE","Bovans",1.995,25.38,2509
211,"SLU-kontroll","CAGE","Bovans",1.786,22.88,2510
215,"SLU-kontroll","CAGE","Bovans",1.916,32.61,2512
216,"SLU-kontroll","CAGE","Bovans",1.869,24.41,2512
219,"SLU-försök","CAGE","LSL",1.665,24.63,2517
220,"SLU-försök","CAGE","LSL",1.59,19.45,2517
223,"SLU-försök","CAGE","Bovans",1.806,27.6,2519
225,"SLU-försök","CAGE","LSL",1.479,21.27,2520
226,"SLU-försök","CAGE","LSL",1.671,23.95,2520
227,"SLU-försök","CAGE","Bovans",1.901,27.99,2521
228,"SLU-försök","CAGE","Bovans",1.874,23.9,2521
229,"SLU-försök","CAGE","Bovans",2.111,21.2,2522
231,"SLU-försök","CAGE","LSL",1.744,19.19,2523
233,"SLU-försök","CAGE","Bovans",2.134,15.69,2524
234,"SLU-försök","CAGE","Bovans",2.077,23.18,2524
235,"SLU-försök","CAGE","Bovans",1.771,32.42,2525
238,"SLU-försök","CAGE","LSL",1.663,24.78,2526
239,"SLU-försök","CAGE","Bovans",1.742,26.22,2527
240,"SLU-försök","CAGE","Bovans",2.011,20.7,2527
242,"SLU-försök","CAGE","LSL",2.037,32.38,2601
243,"SLU-försök","CAGE","Bovans",1.813,16.53,2602
244,"SLU-försök","CAGE","Bovans",1.767,25.68,2602
246,"SLU-kontroll","CAGE","LSL",1.641,24.64,2603
247,"SLU-försök","CAGE","LSL",1.715,17.88,2604
248,"SLU-försök","CAGE","LSL",1.743,21.07,2604
249,"SLU-försök","CAGE","Bovans",1.813,20.28,2605
250,"SLU-försök","CAGE","Bovans",1.769,22.59,2605
251,"SLU-kontroll","CAGE","LSL",2.228,24.17,2606
252,"SLU-kontroll","CAGE","LSL",1.903,26.36,2606
253,"SLU-försök","CAGE","LSL",1.779,24.36,2607
254,"SLU-försök","CAGE","LSL",1.975,23.16,2607
255,"SLU-försök","CAGE","Bovans",1.834,22.38,2608
256,"SLU-försök","CAGE","Bovans",2.058,33.15,2608
257,"SLU-kontroll","CAGE","LSL",2.013,28.3,2609
260,"SLU-försök","CAGE","LSL",1.781,18.64,2610
261,"SLU-försök","CAGE","Bovans",2.224,31.45,2611
